Week,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,Spread Result Class,Game Pick,EGO Pick Correct
14,-8.77,3.73,39,83,6.1889375620000004,-0.530946989,54,29,0.0,-0.352810799,79,68,-0.007027522,-0.237146765,41,31,-0.24708575300000002,0.46614275299999997,16,56,-2.595665296,0.45131622299999996,76,99,7.907836625,-0.49148252600000003,1,1,1
10,6.74,1.74,60,11,0.0,-0.07556990200000001,78,56,0.0,0.32995402,21,75,0.0,-0.028068555,38,28,0.0,-0.039333118,90,38,-0.23410651100000002,-0.130450165,42,35,2.52489885,0.281593779,-1,1,-1
8,-5.75,2.75,36,64,-2.060851319,-0.22318584100000002,65,74,3.11956519,-0.437523259,65,80,-19.16679137,0.616468459,56,75,8.173599766,-0.6026354,33,44,-2.018599081,0.152218395,42,51,0.0,0.233949952,-1,1,-1
9,-13.75,-7.75,27,13,5.382380952,0.753964933,0,39,-3.5920270430000003,0.373698769,34,62,-0.9444483570000001,-0.397829197,33,71,-10.22185666,0.650764041,31,41,-2.2770337019999998,0.307827786,0,53,-4.536843467,0.253494182,1,-1,-1
8,-8.2,-0.7,68,83,-11.80898193,0.7023033329999999,28,57,0.0,-0.0048499070000000005,44,63,0.0,0.049872282000000004,42,100,-12.1672698,0.41527953100000004,80,68,0.0,-0.355597309,78,70,-10.76849589,0.632088461,1,-1,-1
9,8.96,-1.04,28,0,0.0,0.415674885,96,88,-15.84861534,0.422821887,45,41,0.0,-0.013336384,5,30,0.0,-0.064345298,39,33,5.712001267000001,0.545508926,41,19,9.053117797999999,0.568347806,0,-1,1
6,-3.86,-0.86,35,52,-3.113294531,-0.475027019,52,100,0.0,0.9578832740000001,84,54,-14.94773848,0.7696025009999999,53,76,0.0,0.851313175,14,47,0.0,0.8151522240000001,26,9,5.707112538,0.46335492899999997,-1,-1,1
12,12.12,2.12,100,64,0.0,0.0456011,61,42,2.7983132760000005,0.403477101,50,47,7.407485051,0.572047273,84,6,0.0,-0.136907739,66,68,4.982076982,-0.21176904600000002,39,61,0.0,0.036581196,1,1,1
14,7.09,2.09,37,0,-12.17079622,-0.267692615,9,0,-0.9218209209999999,0.10906647,7,17,-6.498451772999999,-0.110571951,100,0,0.0,-0.265754253,19,30,0.8485416179999999,0.352023769,38,36,-2.866677987,0.15952566199999998,-1,1,-1
6,-0.61,-2.61,79,45,0.0,0.29993859100000003,62,32,0.0,-0.309449028,62,94,-4.799413989,0.7355321579999999,37,39,0.0,-0.665290721,47,0,0.0,-0.705376821,78,56,0.0,0.5145933,1,-1,-1
12,13.61,0.61,100,0,0.0,-0.338099663,84,35,6.373308842999999,0.407876941,68,21,6.820940975,0.304032504,62,24,2.364261676,-0.543951245,50,95,0.0,0.5468017629999999,47,0,9.806233795,0.331234034,-1,1,-1
15,-6.88,-9.88,100,83,0.0,-0.064135642,68,77,0.0,-0.041455623,45,83,4.230620135,-0.174554653,78,100,0.0,-0.052402837,60,74,1.796158385,0.12672475,70,39,0.0,-0.07152692599999999,1,-1,-1
14,-7.55,1.45,96,82,-13.22084644,0.599421596,64,41,1.3902480659999998,0.20253159399999998,27,58,0.0,0.151650419,62,20,0.0,0.063454888,36,87,-1.275583562,0.107120176,57,92,-3.012302843,0.141354318,-1,1,-1
8,2.75,-1.75,92,67,0.0,0.114554806,48,42,5.269836155,0.8795921940000001,0,48,4.024084062,0.11592593300000001,86,16,0.0,0.13520064199999998,30,46,4.455770679,0.45469516,82,52,5.3726340089999995,-0.576579516,-1,-1,1
11,3.95,-1.55,65,72,-0.531872741,-0.12633359800000002,81,45,0.0,0.443376915,20,66,0.0,-0.015490232,26,16,0.0,-0.089248594,100,59,1.606929588,-0.138396449,50,71,-4.45192435,0.227217485,1,-1,-1
15,5.81,-1.69,61,34,4.012771527,0.349556464,37,70,0.0,-0.038350619,11,18,3.0338821080000002,0.36098038299999996,100,42,0.0,0.013408647,63,69,0.0,-0.051450378,56,17,1.5045760680000002,0.16150399,-1,-1,1
8,-7.87,-0.87,12,59,-18.27142518,-0.767455432,3,60,0.0,0.237361446,11,59,-12.29530089,-0.359444747,80,73,0.0,-0.08528665,0,35,0.0,0.032859486,26,55,0.0,-0.651271751,-1,-1,1
