Week,Spread,DVOA EGO,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Spread Result Class,EGO To Result Diff
7,-7.0,7.47,67.0,89.0,-15.585459149223494,0.7983380461627205,37.0,33.0,-1.3051986154606825,0.8020432755840045,25.0,93.0,0.0,0.9378940433523816,91.0,22.0,-5.808582802547778,-0.1796660062266397,47.0,53.0,0.0,0.9183107450863752,26.0,61.0,0.0,-0.03068925226255452,1,-1,-1,-25.47
7,6.0,-8.03,20.0,61.0,0.0,-0.03233462609779403,79.0,88.0,0.0,0.027146559449807976,13.0,63.0,0.0,0.9581258462424578,26.0,27.0,1.8845582628874524,0.8509811158525713,45.0,27.0,0.0,0.07609914322854654,65.0,100.0,0.0,-0.732559795383253,-1,-1,1,10.03
7,8.5,-4.36,16.0,89.0,-8.812694639825361,0.38708228515744425,87.0,13.0,0.0,-0.031357192101697906,38.0,0.0,0.0,0.09783065494111036,56.0,27.0,-3.2790026304252584,0.7105890801694271,46.0,83.0,0.0,0.531746777029217,38.0,75.0,0.0,0.19265588537945472,1,-1,-1,-9.64
8,4.0,-2.75,44.0,87.0,7.6977608188184705,-0.8044601793166672,48.0,67.0,1.366661166116618,-0.5930146374864733,0.0,73.0,-0.5773759581674405,-0.4879403626035164,55.0,21.0,0.10049540078843933,0.6779177219441751,51.0,0.0,0.0,-0.024545988854815404,45.0,69.0,6.975418132395282,-0.8978995384160202,1,-1,-1,-14.25
8,4.5,-3.64,47.0,43.0,11.913875338753394,0.7858942852212394,43.0,47.0,-0.22747139588101464,0.6531582425860919,100.0,40.0,0.0,0.0941142681256628,70.0,21.0,1.0930112662258118,0.7276293411867014,0.0,62.0,0.0,0.4673402446719324,41.0,52.0,0.0,0.644625194902696,1,1,1,5.640000000000001
8,2.0,0.21,74.0,100.0,-4.986560722062238,0.478403299878467,74.0,67.0,-0.18155695670449695,-0.10516666635947944,18.0,48.0,0.0,0.035469169031652925,100.0,27.0,-1.0757373424718102,-0.2788807946152273,28.0,68.0,0.0,-0.8819702278147641,74.0,71.0,0.0,0.07436952400432098,1,1,1,12.79
8,-5.5,0.84,32.0,48.0,0.0,0.022208733406253046,70.0,40.0,-0.22625305495426276,-0.5205732000696799,19.0,88.0,0.8986032129821212,-0.21654049723446467,53.0,46.0,0.0,0.3485584209395487,48.0,57.0,0.0,-0.9241174990076758,57.0,54.0,0.0,0.3855524746455036,-1,1,-1,-21.84
8,-16.5,15.73,74.0,69.0,0.0,0.6535832637862917,91.0,34.0,3.9481142984211735,-0.3915801508966267,20.0,48.0,11.199467680608368,0.1759050394241738,96.0,32.0,0.0,-0.1915210274496526,59.0,33.0,0.0,0.2837394108266515,82.0,43.0,0.0,0.21744787634453816,-1,-1,1,15.27
8,-4.5,3.64,47.0,43.0,11.24344602337842,0.8337387372590787,43.0,47.0,0.0,-0.1836712848825239,21.0,70.0,-5.878683746448514,0.3946146932294503,40.0,100.0,0.0,0.6459712112473214,52.0,41.0,0.0,-0.5094708758718074,62.0,0.0,0.0,-0.2820438101251315,-1,1,-1,-5.640000000000001
8,-1.5,3.42,34.0,51.0,0.0,0.05068127721975399,35.0,4.0,0.0,-0.06454270508681109,1.0,24.0,-4.832859555671037,-0.4094350274813291,22.0,31.0,0.0,0.3287638729910089,28.0,42.0,0.0,-0.37553813886955145,66.0,38.0,0.0,0.3350421193771357,1,1,1,3.58
8,5.5,-0.84,40.0,70.0,0.0,-0.3907854217871912,48.0,32.0,8.089773260629475,0.9276563274417232,46.0,53.0,0.28812499999998664,0.8103473898440305,88.0,19.0,0.0,0.6927280518963315,54.0,57.0,0.0,0.003307246143585109,57.0,48.0,8.902293095294379,0.8303455982768151,1,1,1,21.84
8,-3.0,1.83,47.0,96.0,10.020189701897019,-0.7438350518933377,87.0,14.0,0.3627548330404218,-0.634499592530405,49.0,7.0,-1.8527748872702052,-0.6979381328774276,79.0,29.0,0.0,-0.1021601151913668,13.0,82.0,0.0,0.8387325689585364,73.0,81.0,0.0,-0.5464673561255587,-1,1,-1,-4.83
8,-4.0,2.75,67.0,48.0,3.418985507246377,0.763428097280299,87.0,44.0,3.934382838283828,0.7971018859318494,21.0,55.0,0.0,-0.6228079579106485,73.0,0.0,0.0,0.8772957366131997,69.0,45.0,2.374585162930436,0.1158489909604622,0.0,51.0,0.0,0.7939617156197367,-1,-1,1,14.25
8,3.0,-2.16,20.0,87.0,2.853754045307446,-0.1680641572137199,56.0,0.0,0.0,-0.2658654054958678,7.0,0.0,-3.9586717948717953,-0.14269132200400692,28.0,31.0,0.0,0.4309615458869488,41.0,62.0,0.0,-0.2489218149312144,30.0,24.0,0.0,0.5803607682920241,1,-1,-1,-3.84
