Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
WAS,2,2012,-3.5,42.5,-3,-6.5,-1,0,0,0,STL,100.0,63.0,100.0,72.0,50.0,63.0,20.0,95.0,71.0,12.0,40.0,60.0,77.0,88.0,83.0,9.0,1,0,0,0.0,44.0,20.0,20.0,33.0,36.0,43.0,61.0,74.0,26.0,52.0,0.0,53.0,24.0,30.0,75.0,32.0,48.0,14.0,12.0,20.0,20.0,36.0,61.0,26.0,0.0
ARI,3,2012,3.0,42.0,21,24.0,1,1,0,0,PHI,100.0,62.0,27.0,1.0,92.0,43.0,21.0,54.0,26.0,62.0,60.0,70.0,26.0,58.0,18.0,66.0,0,0,0,100.0,57.0,60.0,30.0,44.0,65.0,19.0,56.0,16.0,92.0,100.0,87.0,76.0,59.0,93.0,100.0,65.0,76.0,100.0,77.0,30.0,60.0,65.0,56.0,92.0,87.0
ATL,3,2012,3.0,47.5,24,27.0,1,0,0,0,SDG,100.0,80.0,45.0,46.0,60.0,27.0,63.0,10.0,35.0,0.0,50.0,80.0,28.0,35.0,54.0,62.0,1,0,0,100.0,96.0,50.0,20.0,24.0,36.0,82.0,100.0,89.0,52.0,53.0,64.0,88.0,39.0,74.0,63.0,82.0,70.0,64.0,46.0,20.0,50.0,36.0,100.0,52.0,64.0
BAL,3,2012,-3.0,48.0,1,-2.0,-1,1,0,0,NWE,50.0,89.0,24.0,72.0,52.0,46.0,24.0,45.0,38.0,23.0,50.0,50.0,52.0,39.0,59.0,46.0,0,0,0,50.0,76.0,50.0,30.0,46.0,57.0,89.0,87.0,62.0,60.0,53.0,72.0,52.0,44.0,93.0,55.0,55.0,55.0,79.0,31.0,30.0,50.0,57.0,87.0,60.0,72.0
BUF,3,2012,-3.0,45.0,10,7.0,1,0,0,0,CLE,50.0,53.0,39.0,97.0,39.0,58.0,90.0,10.0,41.0,54.0,40.0,100.0,100.0,36.0,24.0,48.0,1,0,0,0.0,46.0,60.0,70.0,70.0,51.0,40.0,49.0,0.0,35.0,57.0,36.0,18.0,44.0,54.0,33.0,29.0,41.0,21.0,46.0,70.0,60.0,51.0,49.0,35.0,36.0
CAR,3,2012,-3.0,49.0,-29,-32.0,-1,1,1,0,NYG,50.0,57.0,21.0,100.0,60.0,73.0,42.0,29.0,48.0,62.0,20.0,60.0,51.0,27.0,62.0,64.0,0,1,0,50.0,55.0,70.0,30.0,46.0,35.0,26.0,52.0,57.0,100.0,32.0,51.0,42.0,94.0,14.0,29.0,41.0,59.0,63.0,62.0,30.0,70.0,35.0,52.0,100.0,51.0
CHI,3,2012,-7.0,42.0,17,10.0,1,1,0,0,STL,50.0,63.0,55.0,19.0,63.0,72.0,33.0,70.0,35.0,38.0,70.0,10.0,44.0,70.0,27.0,53.0,0,0,0,50.0,54.0,40.0,10.0,52.0,50.0,0.0,39.0,91.0,48.0,60.0,47.0,48.0,64.0,28.0,50.0,70.0,46.0,32.0,46.0,10.0,40.0,50.0,39.0,48.0,47.0
CIN,3,2012,3.0,49.5,7,10.0,1,0,0,0,WAS,50.0,28.0,61.0,42.0,0.0,15.0,22.0,35.0,22.0,69.0,40.0,0.0,45.0,42.0,51.0,33.0,1,0,0,50.0,61.0,70.0,30.0,59.0,80.0,17.0,65.0,90.0,54.0,46.0,32.0,67.0,82.0,29.0,81.0,19.0,40.0,48.0,15.0,30.0,70.0,80.0,65.0,54.0,32.0
CLE,3,2012,3.0,45.0,-10,-7.0,-1,1,0,0,BUF,0.0,46.0,18.0,44.0,54.0,33.0,29.0,41.0,21.0,46.0,70.0,60.0,51.0,49.0,35.0,36.0,0,0,0,50.0,53.0,100.0,40.0,100.0,100.0,31.0,36.0,48.0,24.0,36.0,48.0,39.0,97.0,39.0,58.0,90.0,10.0,41.0,54.0,40.0,100.0,100.0,36.0,24.0,48.0
DAL,3,2012,-7.0,45.5,6,-1.0,-1,1,0,0,TAM,50.0,40.0,42.0,82.0,71.0,87.0,76.0,50.0,65.0,69.0,40.0,70.0,40.0,37.0,62.0,87.0,0,0,0,50.0,54.0,60.0,20.0,36.0,45.0,83.0,93.0,47.0,20.0,48.0,0.0,55.0,29.0,0.0,19.0,21.0,58.0,0.0,31.0,20.0,60.0,45.0,93.0,20.0,0.0
