Team,Opponent,Year,Week,Home Team,Spread,Team DVOA,DVOA Diff,DVOA EGO,DVOA EGO to Spread Diff,Line For Rating,Opp Line Against Rating,Opp Line Against Rating EGO Adj,Opp Line Against Rating Correlation,Line Against Rating,Opp Line For Rating,Opp Line For Rating EGO Adj,Opp Line For Rating Correlation,Rushing For Rating,Opp Rushing Against Rating,Opp Rushing Against Rating EGO Adj,Opp Rushing Against Rating Correlation,Rushing Against Rating,Opp Rushing For Rating,Opp Rushing For Rating EGO Adj,Opp Rushing For Rating Correlation,Passing For Rating,Opp Passing Against Rating,Opp Passing Against Rating EGO Adj,Opp Passing Against Rating Correlation,Passing Against Rating,Opp Passing For Rating,Opp Passing For Rating EGO Adj,Opp Passing For Rating Correlation,DVOA EGO Pick,DVOA Pick Right,Game Scoring Margin,Spread to Result Difference,Spread Result Class
KAN,SDG,2006,7,1,5.5,25.2,-16.3,-1.16,4.34,27.0,100.0,0.0,-0.6723755021125731,63.0,100.0,0.0,0.42852316246627226,15.0,95.0,0.0,0.9734063381702875,38.0,55.0,0.0,-0.04536964797870595,43.0,91.0,0.0,0.06448068332572128,77.0,52.0,0.0,-0.1188573757507606,1,1,3,8.5,1
MIA,GNB,2006,7,1,-5.5,-22.9,-2.299999999999997,1.71,-3.79,43.0,89.0,-4.001671732522798,-0.17318861691278462,30.0,53.0,0.0,0.4385022913759642,15.0,65.0,-3.5533570774397085,-0.2571712423035675,74.0,13.0,0.0,-0.16438928718941295,55.0,0.0,-1.2030478723404268,0.5206559134839055,73.0,78.0,0.0,-0.9883791636106738,-1,1,-10,-15.5,-1
MIN,SEA,2006,7,0,7.0,4.4,5.2,-1.12,5.88,33.0,37.0,-1.7226364477335792,-0.5828037279030531,89.0,67.0,0.0,-0.08427519848756809,22.0,91.0,0.0,-0.8244428252938745,93.0,25.0,0.0,-0.071199899719883,61.0,26.0,-1.1186616357784909,-0.33480109952127923,53.0,47.0,0.0,-0.93298696498969,1,1,18,25.0,1
NWE,BUF,2006,7,0,-5.5,11.9,22.0,2.34,-3.16,40.0,43.0,7.079997615357108,0.683886868828483,100.0,54.0,0.0,-0.3960976232797968,43.0,50.0,2.5442890855457136,0.6002907930809968,81.0,21.0,0.0,0.6495092305050596,47.0,50.0,0.0,0.029358855367829784,38.0,26.0,0.0,-0.7550021122495914,-1,-1,22,16.5,1
NYG,DAL,2006,7,0,3.0,17.8,3.200000000000001,-1.53,1.47,40.0,63.0,8.202619390291767,-0.40556163571485004,68.0,40.0,7.6853992395437265,0.25081040870231164,51.0,100.0,0.0,0.9701505140009247,53.0,51.0,6.908543599257881,-0.44148722345790936,77.0,45.0,0.0,-0.5096727253203881,48.0,49.0,0.0,-0.02742116197063299,1,1,14,17.0,1
NYJ,DET,2006,7,1,-3.5,-27.3,-5.699999999999998,1.02,-2.48,10.0,30.0,6.266165803108807,0.44519311920313287,47.0,21.0,0.0,-0.14281923152591122,18.0,73.0,-5.088214636323074,0.33422304789104784,22.0,3.0,0.0,0.3457317327571911,46.0,20.0,0.0,0.0675277225683514,36.0,74.0,0.0,0.2041640294996928,-1,-1,7,3.5,1
OAK,ARI,2006,7,1,3.0,-51.9,-19.0,-1.71,1.29,0.0,47.0,0.0,0.38939289618052725,0.0,27.0,0.0,0.695382953086346,27.0,58.0,-2.232183798242261,0.22915949430459137,18.0,1.0,0.0,0.032274881751158724,2.0,40.0,-1.5230999270605405,0.10564278712159168,100.0,60.0,0.0,0.6931051291097676,1,1,13,16.0,1
PHI,TAM,2006,7,0,-6.0,45.5,67.9,12.19,6.19,88.0,79.0,0.0,-0.006642676726148183,61.0,20.0,0.0,-0.1130666843413407,27.0,26.0,-9.451550255536622,-0.5792972575136688,63.0,13.0,0.0,0.4241391390525274,100.0,65.0,-6.4431876379691015,0.6288507088390359,27.0,45.0,0.0,0.3797055111063903,1,-1,-2,-8.0,-1
PIT,ATL,2006,7,0,-3.0,-1.2,-11.0,-4.39,-7.39,60.0,32.0,0.0,0.025144925814735014,53.0,40.0,11.365953213647312,0.40170137859822586,35.0,60.0,7.855754625121714,0.2661597889881854,89.0,100.0,0.0,0.40704714072825765,43.0,58.0,0.0,-0.3511832976316937,47.0,0.0,0.0,0.8890592673425552,-1,1,-3,-6.0,-1
SDG,KAN,2006,7,0,-5.5,41.5,16.3,1.16,-4.34,100.0,63.0,0.0,-0.7473066313079321,100.0,27.0,15.209049653749815,0.8799745286977526,55.0,38.0,11.413428621230608,0.925661240695441,95.0,15.0,0.0,-0.057188200841346876,52.0,77.0,4.614127870887639,0.47157531414042386,91.0,43.0,0.0,-0.28744907770059547,-1,1,-3,-8.5,-1
SEA,MIN,2006,7,1,-7.0,-0.8,-5.2,1.12,-5.88,67.0,89.0,-7.917930452397023,0.7422289330364933,37.0,33.0,4.847659469259934,0.8074490980130697,25.0,93.0,0.0,0.9586310844909558,91.0,22.0,0.3044108280254729,-0.2624967322847912,47.0,53.0,0.0,0.8706862015477634,26.0,61.0,0.0,-0.07653409876248356,-1,1,-18,-25.0,-1
TAM,PHI,2006,7,1,6.0,-22.4,-67.9,-12.19,-6.19,20.0,61.0,2.6101327754083856,-0.560580961693295,79.0,88.0,0.0,-0.6037286316587357,13.0,63.0,0.0,0.7374900174393079,26.0,27.0,3.8423360406652294,0.7861130722666086,45.0,27.0,0.0,-0.5819151216160299,65.0,100.0,0.0,-0.9030896082718979,-1,-1,2,8.0,1
WAS,IND,2006,7,0,8.5,7.3,2.7,-1.63,6.87,16.0,89.0,-10.02792626728111,0.44169086874405267,87.0,13.0,0.0,-0.22879807354161358,38.0,0.0,0.0,-0.08650164941768418,56.0,27.0,-4.01886672512057,0.5594098823795369,46.0,83.0,0.0,0.47894783808854846,38.0,75.0,0.0,0.05862309193650039,1,-1,-14,-5.5,-1
ARI,GNB,2006,8,0,4.0,-20.7,0.3000000000000007,-2.11,1.89,44.0,87.0,8.27885796372778,-0.8225640297977284,48.0,67.0,0.7144719471947258,-0.5572506977659417,0.0,73.0,-1.240784954542745,-0.4706487333093932,55.0,21.0,-0.6132706964520351,0.6348711636278673,51.0,0.0,0.0,0.0016129787640934978,45.0,69.0,7.3301279181324155,-0.9074233548840156,1,-1,-17,-13.0,-1
ATL,CIN,2006,8,0,4.5,-0.2,-4.6000000000000005,-3.1,1.4,47.0,43.0,12.630514905149052,0.7978964713852186,43.0,47.0,0.8445652173913025,0.6285888680687,100.0,40.0,0.0,0.07272641564871624,70.0,21.0,2.1333957874112155,0.7276186564387674,0.0,62.0,0.0,0.49222817873156316,41.0,52.0,0.0,0.6215465027655882,1,1,2,6.5,1
BAL,NOR,2006,8,0,2.0,18.6,7.600000000000001,-0.63,1.37,74.0,100.0,-5.13689471096439,0.3683779172172267,74.0,67.0,-0.5781614123581349,-0.2353500130114812,18.0,48.0,0.0,-0.05535258821042364,100.0,27.0,-2.2145942958213554,-0.32074366568579465,28.0,68.0,0.0,-0.8464246608868863,74.0,71.0,0.0,-0.04640269901222646,1,1,13,15.0,1
CAR,DAL,2006,8,1,-5.5,5.3,-15.8,-1.06,-6.5600000000000005,32.0,48.0,0.3196828065456172,-0.25347132822139273,70.0,40.0,0.24648767544165873,-0.7048400367235327,19.0,88.0,2.2188417455187954,-0.44065688956823995,53.0,46.0,0.0,0.1092759826919831,48.0,57.0,0.0,-0.9254541871163018,57.0,54.0,0.0,0.20202424723607154,-1,1,-21,-26.5,-1
CHI,SFO,2006,8,1,-16.5,46.7,73.2,16.26,-0.23999999999999844,74.0,69.0,0.0,0.6126861209525459,91.0,34.0,3.390398043139876,-0.3823770962195775,20.0,48.0,10.462831432192647,0.18973039058344515,96.0,32.0,0.0,-0.23380411566851828,59.0,33.0,0.0,0.2375420373361227,82.0,43.0,0.0,0.27308844131855153,-1,-1,31,14.5,1
