Team,Week,Year,Spread,Over/Under,Game Scoring Margin,Spread to Result Difference,Spread Result Class,Home Team,Short Week,Off Bye Week,Opponent,W-L% Rating,Point Differential Per Game Rating,Time of Poss Per Game Rating,Yards For per Play Rating,Yards Against per Play Rating,Penalty Yards Margin Per Game Rating,3rd Down %_For Rating,3rd Down % Against Rating,Total Yard Margin Per Game Rating,Turnover Margin Per Game Rating,Line For Rating,Line Against Rating,Rushing For Rating,Rushing Against Rating,Passing For Rating,Passing Against Rating,Opp Home Team,Opp Short Week,Opp Off Bye Week,Opp W-L% Rating,Opp Point Differential Per Game Rating,Opp Sacks Against Per Game Rating,Opp Sacks For Per Game Rating,Opp Yards per Rush For Rating,Opp Rushing Yards For Per Game Rating,Opp Yards per Rush Against Rating,Opp Rushing Yards Against Per Game Rating,Opp Passer Rating For Rating,Opp Passing Yards For Per Game Rating,Opp Passer Rating Against Rating,Opp Passing Yards Against Per Game Rating,Opp Time of Poss Per Game Rating,Opp Yards For per Play Rating,Opp Yards Against per Play Rating,Opp Penalty Yards Margin Per Game Rating,Opp 3rd Down %_For Rating,Opp 3rd Down % Against Rating,Opp Total Yard Margin Per Game Rating,Opp Turnover Margin Per Game Rating,Opp Line For Rating,Opp Line Against Rating,Opp Rushing For Rating,Opp Rushing Against Rating,Opp Passing For Rating,Opp Passing Against Rating
GNB,3,2017,-7.0,47.5,3,-4.0,-1,1,0,0,CIN,50.0,44.0,88.0,40.0,53.0,81.0,83.0,64.0,93.0,75.0,44.0,55.0,21.0,42.0,81.0,74.0,0,0,0,0.0,19.0,45.0,22.0,18.0,28.0,38.0,14.0,0.0,31.0,64.0,100.0,20.0,18.0,84.0,37.0,28.0,64.0,61.0,100.0,22.0,45.0,28.0,14.0,31.0,100.0
HOU,3,2017,13.5,44.5,-3,10.5,1,0,0,0,NWE,50.0,26.0,56.0,0.0,75.0,64.0,40.0,88.0,44.0,83.0,11.0,0.0,74.0,40.0,0.0,77.0,1,0,0,50.0,49.0,73.0,22.0,24.0,66.0,0.0,32.0,68.0,100.0,18.0,14.0,64.0,69.0,1.0,28.0,59.0,64.0,57.0,50.0,22.0,73.0,66.0,32.0,100.0,14.0
IND,3,2017,1.0,42.0,3,4.0,1,1,0,0,CLE,0.0,0.0,40.0,14.0,44.0,54.0,28.0,55.0,12.0,75.0,33.0,45.0,24.0,68.0,28.0,28.0,0,0,0,0.0,27.0,27.0,11.0,13.0,24.0,53.0,60.0,13.0,56.0,43.0,57.0,36.0,32.0,64.0,23.0,9.0,56.0,64.0,83.0,11.0,27.0,24.0,60.0,56.0,57.0
JAX,3,2017,3.0,38.0,37,40.0,1,1,0,0,BAL,50.0,49.0,44.0,32.0,81.0,66.0,47.0,38.0,64.0,42.0,100.0,100.0,71.0,30.0,27.0,80.0,0,0,0,100.0,88.0,91.0,67.0,32.0,89.0,44.0,61.0,48.0,22.0,100.0,60.0,76.0,29.0,70.0,54.0,58.0,94.0,64.0,0.0,67.0,91.0,89.0,61.0,22.0,60.0
KAN,3,2017,-3.0,47.5,14,11.0,1,0,0,0,LAC,100.0,74.0,44.0,100.0,56.0,100.0,55.0,40.0,85.0,50.0,78.0,55.0,90.0,42.0,79.0,41.0,1,0,0,0.0,42.0,100.0,44.0,5.0,5.0,49.0,36.0,68.0,63.0,42.0,65.0,16.0,50.0,72.0,60.0,19.0,31.0,56.0,50.0,44.0,100.0,5.0,36.0,63.0,65.0
LAC,3,2017,3.0,47.5,-14,-11.0,-1,1,0,0,KAN,0.0,42.0,16.0,50.0,72.0,60.0,19.0,31.0,56.0,50.0,44.0,100.0,5.0,36.0,63.0,65.0,0,0,0,100.0,74.0,55.0,78.0,100.0,90.0,34.0,42.0,100.0,79.0,60.0,41.0,44.0,100.0,56.0,100.0,55.0,40.0,85.0,50.0,78.0,55.0,90.0,42.0,79.0,41.0
LAR,3,2017,-3.0,40.5,2,-1.0,-1,0,1,0,SFO,50.0,83.0,40.0,66.0,62.0,93.0,54.0,100.0,83.0,58.0,44.0,91.0,29.0,20.0,71.0,83.0,1,1,0,0.0,20.0,64.0,11.0,92.0,51.0,58.0,37.0,16.0,10.0,55.0,75.0,0.0,24.0,88.0,68.0,0.0,30.0,38.0,67.0,11.0,64.0,51.0,37.0,10.0,75.0
MIA,3,2017,-5.5,43.0,-14,-19.5,-1,0,0,0,NYJ,100.0,52.0,72.0,34.0,21.0,22.0,54.0,91.0,52.0,58.0,0.0,82.0,57.0,85.0,51.0,23.0,1,0,0,0.0,7.0,73.0,0.0,36.0,30.0,14.0,0.0,36.0,24.0,24.0,58.0,28.0,23.0,30.0,44.0,63.0,7.0,0.0,83.0,0.0,73.0,30.0,0.0,24.0,58.0
MIN,3,2017,0.0,41.0,17,17.0,1,1,0,0,TAM,50.0,39.0,32.0,54.0,59.0,82.0,79.0,79.0,70.0,67.0,11.0,91.0,56.0,63.0,59.0,46.0,0,0,0,100.0,100.0,82.0,0.0,17.0,62.0,100.0,100.0,48.0,38.0,61.0,35.0,72.0,26.0,67.0,30.0,91.0,21.0,65.0,8.0,0.0,82.0,62.0,100.0,38.0,35.0
NOR,3,2017,5.0,46.5,21,26.0,1,0,0,0,CAR,0.0,17.0,20.0,69.0,0.0,40.0,44.0,0.0,16.0,58.0,11.0,100.0,20.0,37.0,89.0,0.0,1,0,0,100.0,79.0,64.0,56.0,3.0,43.0,60.0,76.0,44.0,30.0,63.0,89.0,100.0,15.0,100.0,36.0,79.0,91.0,93.0,58.0,56.0,64.0,43.0,76.0,30.0,89.0
NWE,3,2017,-13.5,44.5,3,-10.5,-1,1,0,0,HOU,50.0,49.0,64.0,69.0,1.0,28.0,59.0,64.0,57.0,50.0,22.0,73.0,66.0,32.0,100.0,14.0,0,0,0,50.0,26.0,0.0,11.0,46.0,74.0,48.0,40.0,24.0,0.0,58.0,77.0,56.0,0.0,75.0,64.0,40.0,88.0,44.0,83.0,11.0,0.0,74.0,40.0,0.0,77.0
